anio,jugadores,tiempo,edad,estrategia,nombre,categorias,sistemas,familia,nota,cantidad,desviacion
2010,1–2,180,12+,3.52,Labyrinth: The War on Terror 2001 – ?,Modern Warfare|#|Political|#|Religious|#|Wargame,Area Control / Area Influence|#|Campaign / Battle Card Driven|#|Dice Rolling|#|Hand Management|#|Point to Point Movement|#|Variable Player Powers,Middle Eastern Theme|#|Solitaire Games|#|Solitaire Wargames,7573,2975,1.55
2014,2–4,60–90,14+,2.86,Deus,Civilization|#|Mythology,Grid Movement|#|Hand Management|#|Modular Board|#|Route/Network Building,Tableau Building,7408,4223,1.21
2009,1–6,120,12+,2.18,Tales of the Arabian Nights,Adventure|#|Arabian|#|Fantasy,Dice Rolling|#|Point to Point Movement|#|Role Playing|#|Storytelling|#|Variable Player Powers,Crowdfunding: Giochistarter|#|Solitaire Games,7294,7988,1.58
2014,4–12,20,14+,1.66,Deception: Murder in Hong Kong,Bluffing|#|Deduction|#|Murder/Mystery|#|Party Game|#|Spies/Secret Agents,Partnerships|#|Storytelling,Crowdfunding: Kickstarter,7587,2807,1.32
2015,2–4,60,14+,2.78,Elysium,Ancient|#|Card Game|#|Mythology,Card Drafting|#|Set Collection,Country: Greece|#|Tableau Building,7393,4407,1.21
2015,2–4,60–120,12+,3.75,Nippon,Economic|#|Industry / Manufacturing,Area Control / Area Influence|#|Variable Phase Order,Country: Japan,7837,1778,1.13
2013,2–6,60,13+,3.11,Euphoria: Build a Better Dystopia,Science Fiction,Dice Rolling|#|Hand Management|#|Set Collection|#|Variable Player Powers|#|Worker Placement,Crowdfunding: Kickstarter|#|Euphoria|#|Mensa Select,7363,5239,1.39
1990,1–6,300,14+,4.28,The Republic of Rome,Ancient|#|Negotiation|#|Political|#|Wargame,Dice Rolling|#|Hand Management|#|Simulation|#|Variable Player Powers|#|Voting,Ancient Rome|#|Cities: Rome|#|Solitaire Games|#|Valley Games Classic Line|#|Valley Games Tactics Line,7551,3274,1.76
2009,2–5,90,12+,3.18,Carson City,American West|#|City Building|#|Economic,Area Control / Area Influence|#|Dice Rolling|#|Tile Placement|#|Worker Placement,Cities: Carson City (Nevada USA)|#|Country: USA|#|Quined Master Print Edition Series,7317,5529,1.31
2011,2–5,45–75,13+,2.68,Last Will,Card Game|#|Economic|#|Humor,Action Point Allowance System|#|Hand Management|#|Worker Placement,Country: England|#|Tableau Building,7276,636,1.16
2012,1–4,60–120,13+,2.92,Freedom: The Underground Railroad,American Civil War|#|Economic|#|Educational|#|Political|#|Puzzle,Co-operative Play|#|Pick-up and Deliver|#|Point to Point Movement|#|Variable Player Powers,Birth of America Series|#|Country: USA|#|Crowdfunding: Kickstarter|#|Solitaire Games,7662,2253,1.20
1994,2–8,20–120,12+,2.43,Robo Rally,Miniatures|#|Racing|#|Science Fiction,Action / Movement Programming|#|Grid Movement|#|Modular Board|#|Partnerships|#|Player Elimination|#|Simultaneous Action Selection,Robots,7170,18761,1.52
2013,3–5,90–120,14+,2.92,Francis Drake,Bluffing|#|Exploration|#|Nautical|#|Pirates|#|Renaissance,Dice Rolling|#|Press Your Luck|#|Secret Unit Deployment|#|Set Collection|#|Worker Placement,Crowdfunding: Kickstarter,7525,2964,1.22
2015,1–4,30–60,14+,2.72,Warhammer Quest: The Adventure Card Game,Adventure|#|Card Game|#|Fantasy,Co-operative Play|#|Dice Rolling|#|Role Playing|#|Variable Player Powers,Campaign Games|#|Solitaire Games|#|Warhammer Fantasy Card Games,7713,2475,1.25
2005,2–4,90,12+,2.23,Nexus Ops,Exploration|#|Fighting|#|Science Fiction,Area Control / Area Influence|#|Dice Rolling|#|Hand Management|#|Modular Board,N/A,7260,741,1.22
2011,1–4,60–180,13+,2.87,Gears of War: The Board Game,Fighting|#|Miniatures|#|Science Fiction|#|Video Game Theme,Area Movement|#|Campaign / Battle Card Driven|#|Co-operative Play|#|Dice Rolling|#|Hand Management|#|Modular Board|#|Variable Player Powers,Solitaire Games,7510,3595,1.37
2015,1–5,30,14+,2.13,Tiny Epic Galaxies,Dice|#|Science Fiction|#|Space Exploration,Area Control / Area Influence|#|Dice Rolling|#|Variable Player Powers,4X games|#|Crowdfunding: Kickstarter|#|Tiny Epic,7379,474,1.18
2011,1,25,10+,2.12,Friday,Card Game|#|Fighting|#|Novel-based|#|Pirates,Deck / Pool Building|#|Hand Management,Freitag-Project|#|Solitaire Games,7249,7915,1.15
2013,2,45,12+,2.13,Smash Up: Awesome Level 9000,Card Game|#|Fantasy|#|Horror|#|Humor|#|Pirates|#|Prehistoric|#|Science Fiction|#|Spies/Secret Agents,Area Control / Area Influence|#|Hand Management|#|Take That|#|Variable Player Powers,Smash Up|#|Steampunk,7397,4677,1.27
1983,2–3,60,12+,3.39,Up Front,Card Game|#|Wargame|#|World War II,Campaign / Battle Card Driven|#|Hand Management|#|Simulation|#|Variable Player Powers,Crowdfunding: Kickstarter|#|Up Front Series,7838,1831,1.77
2007,2,180,12+,3.61,Napoleon's Triumph,Napoleonic|#|Wargame,Area Movement|#|Secret Unit Deployment|#|Simulation,Block wargames,7980,1481,1.76
2011,2–5,120,12+,3.04,Belfort,City Building|#|Economic|#|Fantasy,Area Control / Area Influence|#|Card Drafting|#|Hand Management|#|Worker Placement,Games by the Game Artisans of Canada|#|TMG Originals,7346,4788,1.22
2012,1–5,45,13+,2.90,Ginkgopolis,City Building|#|Environmental|#|Science Fiction,Area Control / Area Influence|#|Card Drafting|#|Hand Management|#|Simultaneous Action Selection|#|Tile Placement,Solitaire Games,7430,3541,1.24
2012,3–6,30,8+,1.32,Dixit: Journey,Card Game|#|Humor|#|Party Game,Acting|#|Simultaneous Action Selection|#|Singing|#|Storytelling|#|Voting,Dixit,7505,3238,1.27
2012,2,150,12+,3.26,1989: Dawn of Freedom,Political,Area Control / Area Influence|#|Campaign / Battle Card Driven|#|Dice Rolling|#|Hand Management,Country: Czech Republic|#|Country: Germany|#|Country: Hungary|#|Country: Poland|#|Country: Romania|#|Country: Slovakia,7924,1554,1.38
2005,3–7,60–80,10+,2.56,Shadows over Camelot,Adventure|#|Deduction|#|Fantasy|#|Medieval|#|Mythology,Co-operative Play|#|Hand Management|#|Partnerships|#|Player Elimination|#|Set Collection|#|Variable Player Powers,The Legend of King Arthur and the Knights of the Round Table|#|Shadows over Camelot,7159,19333,1.39
2014,2–6,50–70,12+,2.46,Evolution,Animals|#|Card Game|#|Educational|#|Environmental|#|Prehistoric|#|Print & Play,Action Point Allowance System|#|Hand Management|#|Press Your Luck|#|Secret Unit Deployment|#|Simulation|#|Simultaneous Action Selection,Crowdfunding: Kickstarter|#|Evolution,7306,5988,1.27
2007,2–6,180–240,12+,3.82,StarCraft: The Board Game,Civilization|#|Fighting|#|Miniatures|#|Science Fiction|#|Space Exploration|#|Territory Building|#|Video Game Theme|#|Wargame,Area Control / Area Influence|#|Area Movement|#|Deck / Pool Building|#|Modular Board|#|Variable Player Powers,Components: Miniatures|#|Fantasy Flight Big Box,7342,5905,1.56
2015,2–5,30,10+,1.91,The Grizzled,Card Game|#|World War I,Co-operative Play|#|Hand Management|#|Press Your Luck|#|Variable Player Powers,N/A,7374,4349,1.21
2008,1–4,120,10+,3.00,Conflict of Heroes: Awakening the Bear! – Russia 1941-42,Wargame|#|World War II,Action Point Allowance System|#|Dice Rolling|#|Hex-and-Counter|#|Modular Board|#|Simulation,Conflict of Heroes|#|Country: Russia|#|Solitaire Games|#|Solitaire Wargames,7569,278,1.51
2013,2–4,60–150,12+,4.25,Madeira,Dice|#|Economic|#|Farming|#|Nautical,Area Control / Area Influence|#|Dice Rolling|#|Worker Placement,Country: Portugal,7673,2176,1.46
2010,1–4,90,13+,2.71,Defenders of the Realm,Adventure|#|Fantasy|#|Fighting|#|Miniatures,Action Point Allowance System|#|Co-operative Play|#|Dice Rolling|#|Hand Management|#|Point to Point Movement|#|Variable Player Powers,Animals: Dragons|#|Defenders of the Realm|#|Solitaire Games,7395,4371,1.37
2014,2–5,45,8+,1.99,Paperback,Card Game|#|Print & Play|#|Word Game,Card Drafting|#|Co-operative Play|#|Deck / Pool Building,Crowdfunding: Kickstarter,7399,381,1.16
2014,2,60,14+,2.28,Marvel Dice Masters: Avengers vs. X-Men,Collectible Components|#|Comic Book / Strip|#|Dice|#|Fighting,Deck / Pool Building|#|Dice Rolling|#|Variable Player Powers,CDGs (Collectible Dice Games)|#|Comics: Marvel Universe|#|Dice Masters|#|Quarriors Pool Building system|#|Superheroes,7377,4506,1.46
2014,2–4,100,12+,3.66,AquaSphere,Nautical|#|Science Fiction,Area Control / Area Influence|#|Area Movement|#|Modular Board,Crowdfunding: Kickstarter,7405,3737,1.29
2016,2–8,10–20,10+,1.41,Codenames: Pictures,Deduction|#|Party Game|#|Spies/Secret Agents,Memory|#|Partnerships|#|Pattern Recognition|#|Press Your Luck,Codenames,7742,1947,1.21
2012,2–6,15,9+,1.44,Coup,Bluffing|#|Card Game|#|Deduction|#|Political,Memory|#|Player Elimination|#|Take That|#|Variable Player Powers,Crowdfunding: Kickstarter|#|Dystopian Universe|#|Postcard Box Games,7147,18407,1.39
2014,2–6,40,10+,1.85,King of New York,Dice|#|Fighting|#|Movies / TV / Radio theme|#|Science Fiction,Area Movement|#|Card Drafting|#|Dice Rolling|#|Player Elimination|#|Press Your Luck,Cities: New York (New York USA)|#|Country: USA|#|Kaiju|#|King of Tokyo|#|Monsters,7239,7518,1.24
2008,2,180,12+,3.21,Combat Commander: Pacific,Wargame|#|World War II,Campaign / Battle Card Driven|#|Hex-and-Counter|#|Simulation|#|Variable Phase Order,Combat Commander Series,8117,1222,1.69
2013,2–5,15,8+,1.17,Sushi Go!,Card Game,Card Drafting|#|Hand Management|#|Set Collection|#|Simultaneous Action Selection,Crowdfunding: Indiegogo|#|Food / Cooking,7152,14785,1.11
2009,2–4,30–60,9+,2.30,Summoner Wars,Card Game|#|Fantasy|#|Fighting,Action Point Allowance System|#|Dice Rolling|#|Grid Movement|#|Hand Management|#|Take That|#|Variable Player Powers,Summoner Wars,7351,4842,1.59
2001,2,30,9+,2.70,DVONN,Abstract Strategy,Grid Movement,Combinatorial|#|GIPF Project|#|Mensa Select,7427,3499,1.35
2015,2–4,30–120,14+,2.87,Ashes: Rise of the Phoenixborn,Card Game|#|Dice|#|Fantasy,Dice Rolling|#|Hand Management|#|Variable Player Powers,N/A,7722,2417,1.41
2014,2–4,30–60,14+,2.37,Abyss,Card Game|#|Mythology|#|Science Fiction,Auction/Bidding|#|Card Drafting|#|Hand Management|#|Press Your Luck|#|Set Collection,N/A,7334,4734,1.24
